growth_rate_per_hr,measured_R_P_ratio,estim_ribosomal_fraction_scott,estim_ribosomal_fraction_dai,estim_useless_fraction,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate
1.58,0.442105263,0.336,0.210526316,0,1,0,0,7.07622128553711,0,0,0.227914608000689,0.306725894225832,0.46535949777348,0.0203203753825641,0.223283297610945,0.30049310891561,0.30049310891561,0.455903218090881,0,1,1.58000202325948
1.18,0.473684211,0.36,0.22556391,0,1,1,0,7.07622128553711,0.133117338252698,0,0.169586523349725,0.366753720283128,0.463659756367148,0.0167289443816313,0.166749519832733,0.360618317694755,0.227500979442057,0.455903218090881,0,0.630863625831191,1.17995650159348
0.9,0.552631579,0.42,0.263157895,0,1,2,0,7.07622128553711,0.226992902578888,0,0.129009416768757,0.408552564955731,0.462438018275512,0.0141311914816172,0.127186359997466,0.402779230430036,0.175786327851148,0.455903218090881,0,0.43643344683753,0.899998827844053
0.32,0.656578947,0.499,0.312656641,0,1,3,0,7.07622128553711,0.424796698859416,0,0.0455842629825757,0.494870307146423,0.459545429871001,0.00792568382443221,0.0452229765268061,0.490948121557881,0.0661514226984643,0.455903218090881,0,0.1347421851591,0.32000778909433
0.13,0.730263158,0.555,0.347744361,0,1,4,0,7.07622128553711,0.491997217364279,0,0.0184668239356484,0.523347536959313,0.458185639105038,0.00498143289391495,0.0183748326914492,0.520740516323755,0.028743298959476,0.455903218090881,0,0.0551969705802683,0.130024382209416
1.31,0.396052632,0.301,0.188596491,0,2,0,0,4.76618907237155,0,0,0.279858041300731,0.255937942973062,0.464204015726207,0.017881787649639,0.274853679234148,0.251361315025332,0.251361315025332,0.455903218090881,0,1,1.31000460246691
0.91,0.451315789,0.343,0.21491228,0,2,1,0,4.76618907237155,0.161283798237305,0,0.193693364335293,0.343818793185204,0.462487842479503,0.0142373999569809,0.190935674438238,0.3389237075139,0.177639909276595,0.455903218090881,0,0.524129487959498,0.91003552503342
0.47,0.584210526,0.444,0.278195489,0,2,2,0,4.76618907237155,0.340781587185724,0,0.0995858538179417,0.440024269592598,0.46038987658946,0.00974534568791072,0.0986153552468601,0.435736080974348,0.0949544937886238,0.455903218090881,0,0.217917445753623,0.470019428545623
0.2,0.681578947,0.518,0.324561403,0,2,3,0,4.76618907237155,0.453235775740515,0,0.0422201398934099,0.4990298277689,0.458750032337691,0.00620558920138434,0.0419581390492064,0.495933053658528,0.0426972779180132,0.455903218090881,0,0.086094842041749,0.199980423833373
0.11,0.746052632,0.567,0.355263158,0,2,4,0,4.76618907237155,0.491748604682376,0,0.0231875049216655,0.518828312496147,0.457984182582187,0.00454374751453992,0.0230821467538093,0.51647088764077,0.024722282958394,0.455903218090881,0,0.0478677182973951,0.110013875624882
