growth_rate_per_hr,avg_cell_length_um,avg_cell_width_um,estim_avg_cell_volume_um3,nutrient_type,cm_type,useless_type,model_k,model_ri,model_fU,model_fE,model_fR,model_fQ,model_a,model_e,model_r,model_ra,model_q,model_u,model_ra_over_r,model_growth_rate,model_asat
0.42,2.37,0.91,1.36,6,0,0,0.878944656700895,0,0,0.500679701086449,0.116463800933585,0.382856497979966,0.0455954073447121,0.477851006166183,0.111153586489105,0.111153586489105,0.3654,0,1,0.420004588568914,0.0327294
0.47,2.51,0.98,1.67,5,0,0,1.01011344043339,0,0,0.489469913198411,0.12614645535651,0.384383631445079,0.049387200421907,0.465296364494788,0.119916435083305,0.119916435083305,0.3654,0,1,0.470002111560981,0.0327294
0.7,2.84,0.92,1.7,4,0,0,1.70427860547469,0,0,0.439809545303712,0.168915314250689,0.391275140445599,0.0661302949533956,0.410724810349459,0.157744894697146,0.157744894697146,0.3654,0,1,0.699989507016232,0.0327294
0.98,2.95,1.07,2.32,3,0,0,2.80767239087334,0,0,0.381720551169698,0.218668685982482,0.39961076284782,0.0856102138091014,0.349041373168732,0.199948413022167,0.199948413022167,0.3654,0,1,0.979993826718366,0.0327294
1.29,3.29,1.21,3.33,2,0,0,4.52843235103784,0,0,0.31883517634407,0.272183955075185,0.408980868580745,0.106559675351027,0.284860203462359,0.243180121186615,0.243180121186615,0.3654,0,1,1.28997016088217,0.0327294
1.83,4.94,1.36,6.6,1,0,0,10.1288436912063,0,0,0.210636318982469,0.363361751210126,0.426001929807405,0.142257406755888,0.180671742475417,0.311670850768695,0.311670850768695,0.3654,0,1,1.82999583895137,0.0327294
0.74,2.72,1.11,2.28,3,1,0,2.80767239087334,0.120994663214089,0,0.297375002737101,0.290360347169739,0.41226465009316,0.11367613032689,0.263570563169999,0.257353306503111,0.136358643289022,0.3654,0,0.529849976057619,0.740019793259343,0.0327294
0.55,2.74,1.09,2.23,3,1,0,2.80767239087334,0.206862337534611,0,0.226962189791669,0.349679926871,0.423357883337331,0.13690044668697,0.195890964628137,0.301808588684893,0.0949462511502821,0.3654,0,0.314590951715466,0.549997653007965,0.0327294
0.45,2.88,1.11,2.42,3,1,0,2.80767239087334,0.249519739888889,0,0.18843989293787,0.38192064306989,0.42963946399224,0.14951946777729,0.16026446043779,0.32481607178492,0.0752963318960307,0.3654,0,0.23181221139171,0.449970100809395,0.0327294
0.3,3,1.08,2.44,3,1,0,2.80767239087334,0.310708773151922,0,0.128578313098276,0.431704758983708,0.439716927918016,0.169010841292587,0.106847184229555,0.358741974477858,0.0480332013259361,0.3654,0,0.133893451960416,0.299991889203878,0.0327294
0.88,3.15,1.1,2.67,3,0,1,2.80767239087334,0,0.0620649964066935,0.340208435562378,0.201099751008518,0.396626817022411,0.0787309775391376,0.313423492863491,0.18526697102874,0.18526697102874,0.3654,0.0571785585686314,1,0.879990487563911,0.0327294
0.73,3.15,1.13,2.79,3,0,1,2.80767239087334,0,0.154442896645477,0.279048035892428,0.174341754584301,0.392167312877794,0.0682548289947237,0.260001659921277,0.162442087938509,0.162442087938509,0.3654,0.14390142314549,1,0.729999482142209,0.0327294
0.61,3.47,1.15,3.22,3,0,1,2.80767239087334,0,0.22789540808035,0.231051284231422,0.15245900145784,0.388594306230389,0.05968771507588,0.217260361010301,0.143359072018071,0.143359072018071,0.3654,0.214292851895748,1,0.609995917239796,0.0327294
0.4,4.89,1.23,5.39,3,0,1,2.80767239087334,0,0.356180802143574,0.149039499078344,0.112538880190668,0.382240818587414,0.0440581376150514,0.142473096317872,0.107580626720184,0.107580626720184,0.3654,0.340488139346893,1,0.400017778973928,0.0327294
0.24,5.92,1.27,7.13,3,0,1,2.80767239087334,0,0.455167446209379,0.0882161413631173,0.0794811367821973,0.377135275645306,0.0311168867065699,0.0854711296866304,0.0770079312536363,0.0770079312536363,0.3654,0.441004052353163,1,0.239974931037907,0.0327294
1.12,3.11,1.21,3.11,2,0,1,4.52843235103784,0,0.0798721266123374,0.273324038811136,0.242989297344014,0.403814537232512,0.0951291587860634,0.247322952923024,0.219873929893661,0.219873929893661,0.3654,0.0722739583972518,1,1.11998526117083,0.0327294
0.95,3.13,1.22,3.23,2,0,1,4.52843235103784,0,0.158955529397069,0.228911737593825,0.21341865831124,0.398714074697866,0.0835537965975008,0.20978529283213,0.195586719144591,0.195586719144591,0.3654,0.145674191425778,1,0.949998506832964,0.0327294
0.84,3.27,1.24,3.52,2,0,1,4.52843235103784,0,0.209806342813337,0.200740271769992,0.194017125791928,0.395436259624743,0.0759572722371159,0.185492588298206,0.179280114149488,0.179280114149488,0.3654,0.19387002531519,1,0.839990637727339,0.0327294
0.65,3.51,1.32,4.24,2,0,1,4.52843235103784,0,0.297285250365166,0.153117069652722,0.15981028016711,0.389787399815002,0.0625659008643604,0.143537162252188,0.149811606021069,0.149811606021069,0.3654,0.278685330862383,1,0.649998329118976,0.0327294
0.52,4.66,1.34,6.05,2,0,1,4.52843235103784,0,0.35715474870182,0.121278571535165,0.135669838000269,0.385896841762746,0.0531148212281759,0.114836881889267,0.128463758808829,0.128463758808829,0.3654,0.338184538073729,1,0.520031051039666,0.0327294
0.42,5.76,1.36,7.61,2,0,1,4.52843235103784,0,0.403500292957283,0.0971796276788473,0.116463251205634,0.382856828158236,0.0455962304295659,0.0927486029821432,0.111152965967086,0.111152965967086,0.3654,0.385102200621205,1,0.420005774257902,0.0327294
